property_type,society,sector,price_in_cr,price_per_sqft,bedroom,bathroom,balcony,facing,agepossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_category,floor_category
flat,Ireo Skyon,Sector 60,2.5,16129,2,1,2,north-west,Relatively New,1403,1,0,0,0,0,Semi-furnished,Medium,Mid-rise
flat,Signature The Roselia,Sector 95,0.48,7164,2,2,2,north-east,Relatively New,740,0,0,0,0,0,Semi-furnished,Low,Mid-rise
flat,ATS Tourmaline,Sector 109,1.4,8000,3,3,3+,north-west,Relatively New,1584,0,0,0,0,1,Semi-furnished,Medium,High-rise
flat,DLF New Town Heights,Sector 86,1.28,8205,3,4,3+,west,Moderately Old,1734,0,1,0,1,0,Semi-furnished,Medium,High-rise
flat,Pioneer Araya,Sector 62,8.35,19513,4,2,3,east,Relatively New,3872,0,1,0,1,0,Semi-furnished,High,High-rise
house,Independent,Sector 13,0.45,4808,1,1,1,east,Old,936,0,0,0,0,0,Semi-furnished,Low,Low-rise
flat,Paras Dews,Sector 106,1.25,10656,3,4,3,east,Relatively New,1305,1,1,0,0,0,Semi-furnished,High,High-rise
flat,Kendriya Vihar,Sector 56,0.47,7768,1,1,1,north-east,Old,605,0,0,0,0,0,Un-furnished,Average,Low-rise
house,Independent,Sector 67,3.0,11904,4,4,2,north-east,Moderately Old,2781,0,0,0,0,0,Semi-furnished,Low,Low-rise
flat,Signature Global Solera,Sector 107,0.52,8062,3,2,2,east,Relatively New,712,0,0,0,0,1,Semi-furnished,Low,Mid-rise
flat,Shree Vardhman Victoria,Sector 70,1.63,8358,3,3,3,east,New Property,1523,0,1,0,0,1,Semi-furnished,Average,Mid-rise
house,Independent,Sector 14,4.6,20444,1,1,3+,east,Old,2250,0,0,0,0,0,Semi-furnished,Low,Low-rise
flat,SS Residency Residency The Leaf,Sector 85,1.05,6163,2,2,3+,west,Relatively New,1512,0,0,1,0,0,Semi-furnished,Medium,Mid-rise
flat,Tata Primanti,Sector 72,5.25,15648,4,4,3+,north-east,New Property,3000,0,1,0,0,0,Un-furnished,High,Skyscraper
flat,Emaar  Greens,Sector 102,1.45,8787,3,3,3,north-east,Relatively New,1493,0,1,0,0,0,Semi-furnished,High,Mid-rise
flat,Signature Global Park,Sohna Road,0.54,7200,2,2,2,north-east,Relatively New,828,0,0,0,0,0,Semi-furnished,Medium,Mid-rise
flat,La Vida By Tata Housing,Sector 113,1.65,10449,3,2,2,north-east,Relatively New,1420,0,0,0,0,0,Semi-furnished,Average,Low-rise
flat,Ansal Height Height Heights,Sector 86,1.05,5541,3,3,3,north-east,Relatively New,1715,0,1,0,0,0,Semi-furnished,Low,Mid-rise
flat,DLF New Town Heights,Sector 86,1.25,6476,3,4,3+,south-west,Relatively New,1747,0,1,0,1,0,Semi-furnished,Medium,Low-rise
house,Independent,Sector 43,3.0,5955,2,3,1,west,New Property,5038,0,0,0,0,1,Furnished,Low,Mid-rise
flat,M Woodshire,Sector 107,0.8,5856,2,2,3+,north-east,New Property,1236,0,0,0,0,0,Semi-furnished,Medium,High-rise
flat,ATS Tourmaline,Sector 109,1.5,8571,3,3,3+,north-east,Relatively New,1466,0,0,0,0,0,Semi-furnished,High,Mid-rise
flat,Ashiana Anmol,Sector 33,1.1,8627,2,2,2,north-east,New Property,1275,0,0,0,0,0,Semi-furnished,Low,Mid-rise
flat,Godrej Summit,Sector 104,1.2,8298,3,2,3+,north-east,Relatively New,1596,1,0,0,1,0,Un-furnished,Medium,High-rise
flat,HCBS Sports Ville,Sohna Road,0.32,6165,2,2,2,north-east,New Property,519,0,0,0,0,0,Semi-furnished,Average,Low-rise
flat,Emaar MGF The Palm Drive,Sector 66,3.98,18090,3,4,3+,south-east,Moderately Old,1991,0,1,0,0,0,Un-furnished,Medium,Low-rise
flat,Signature Global Park,Sohna Road,0.83,7410,3,2,2,north-east,New Property,1236,0,0,0,0,0,Semi-furnished,Low,Low-rise
flat,Aqua Front Towers,Sector 32,2.5,11715,3,4,3,north-east,Relatively New,2134,0,0,0,0,0,Semi-furnished,Low,Low-rise
flat,Ansal Height Heights Api Esencia,Golf Course Ext Road,2.4,8000,4,4,3+,east,New Property,2500,0,0,0,0,0,Un-furnished,Medium,Low-rise
house,Independent,Sector 12,1.5,11111,5,2,3,east,Old,1353,0,0,0,0,0,Semi-furnished,Low,Low-rise
flat,Kiran Residency,Sector 56,1.5,6648,3,2,3+,south-east,Moderately Old,2250,1,0,0,1,0,Un-furnished,Medium,Mid-rise
flat,Ireo Victory Valley,Sector 67,2.99,11832,3,1,3,east,Relatively New,2200,0,1,0,0,0,Un-furnished,Average,Mid-rise
house,Independent,Sector 26,18.9,41806,6,3,1,north-east,Relatively New,4527,1,1,1,1,0,Un-furnished,Medium,Low-rise
house,Independent,Sector 2,2.55,16378,3,3,3,south,Old,1560,0,0,0,0,0,Semi-furnished,Low,Low-rise
house,Independent,Sector 4,0.8,5899,5,4,3,east,New Property,1356,0,0,0,0,0,Semi-furnished,Low,Low-rise
flat,M Skywalk,Sector 74,2.7,13379,3,3,3,north-east,New Property,1826,0,0,1,0,0,Semi-furnished,Medium,High-rise
flat,ILD Greens,Sector 37C,0.95,9223,2,2,3+,south-west,Relatively New,1175,0,0,1,1,0,Un-furnished,Medium,High-rise
flat,Signature Global City,Sector 92,0.99,9074,3,2,3,north-east,New Property,1091,0,0,0,0,0,Semi-furnished,Low,Low-rise
flat,DLF Regal Gardens,Sector 90,1.7,7223,4,4,3+,north-west,Moderately Old,2005,0,1,0,0,0,Semi-furnished,Average,High-rise
house,Independent,Sector 2,1.0,8230,3,3,3,north,Moderately Old,1217,0,0,0,1,0,Semi-furnished,Low,Low-rise
flat,Bestech Altura,Sector 79,2.69,12500,3,4,3+,north-east,New Property,1946,0,1,0,0,0,Semi-furnished,Average,Low-rise
flat,DLF The Ultima,Sector 81,2.34,11185,3,4,3+,south-east,Relatively New,1760,0,1,0,0,0,Furnished,High,High-rise
flat,Sare Crescent Parc,Sector 92,0.92,4854,4,2,3+,north-east,Moderately Old,1895,0,0,0,0,0,Un-furnished,Medium,High-rise
flat,GLS Arawali Homes,Sohna Road,0.26,4513,2,2,2,east,New Property,576,0,0,0,0,0,Semi-furnished,Medium,Mid-rise
flat,Ireo Victory Valley,Sector 67,2.87,11903,3,3,3+,north-west,Relatively New,2089,0,1,0,0,0,Un-furnished,High,High-rise
flat,Ramsons Kshitij,Sector 95,0.45,4591,2,2,1,north-east,Relatively New,887,1,0,0,0,0,Semi-furnished,Medium,Low-rise
flat,Imperia The Esfera,Sector 37C,0.86,4886,3,3,2,north-east,New Property,1593,0,0,0,0,1,Semi-furnished,Average,Basement/Ground Floor
house,Unitech Uniworld Resorts,Sector 33,11.5,24561,5,2,1,east,Relatively New,4690,0,1,0,0,0,Semi-furnished,Medium,Mid-rise
flat,MVN Athens,Sohna Road,0.26,5397,2,2,1,north-east,Relatively New,482,0,0,0,0,0,Semi-furnished,Average,Low-rise
house,SS Residency Residency Hibiscus,Sector 50,12.25,20940,5,3,1,south-east,Relatively New,5850,1,1,0,1,1,Un-furnished,High,Low-rise
flat,Mapsko Casa Bella,Sector 82,3.0,6134,4,2,3+,west,Relatively New,4425,0,1,0,1,0,Un-furnished,Medium,Skyscraper
flat,Sobha City,Sector 108,3.75,14938,3,3,2,north-east,New Property,2120,0,1,0,0,0,Semi-furnished,Medium,High-rise
flat,Puri Diplomatic Greens,Sector 111,2.58,11727,3,4,2,north,Moderately Old,1991,0,1,0,0,0,Semi-furnished,Medium,High-rise
flat,Ireo Skyon,Sector 60,3.8,13571,4,2,3,east,Moderately Old,2791,0,1,0,0,0,Un-furnished,Medium,High-rise
house,DLF Pink Town House,Sector 24,1.9,3786,3,3,1,north,Relatively New,5018,0,0,0,0,1,Furnished,Low,Low-rise
flat,Pareena Mi Casa,Sector 68,1.1,9020,2,2,3,east,New Property,1239,0,0,0,0,0,Semi-furnished,Medium,High-rise
house,Independent,Sector 15 Part 2,1.45,12393,4,4,3,north,Old,1172,0,0,0,0,1,Semi-furnished,Low,Low-rise
flat,Ireo Skyon,Sector 60,3.6,12815,4,2,3,north-east,Relatively New,2596,0,1,0,0,0,Un-furnished,Average,Skyscraper
flat,Laxmi Pareena,Sector 99A,0.3,6666,2,1,0,north,New Property,450,0,0,0,0,0,Semi-furnished,Low,High-rise
flat,Bestech Park View Residency,Sector 2,1.26,8051,2,2,3,south-east,Moderately Old,1416,1,0,0,0,0,Semi-furnished,Medium,Mid-rise
house,Independent,New Gurgaon,1.0,8796,3,2,3,north,Old,1082,0,0,0,1,0,Semi-furnished,Low,Low-rise
flat,Eldeco Accolade,Sohna Road,0.85,6724,2,2,3,north-east,New Property,975,0,0,0,0,0,Semi-furnished,Medium,High-rise
house,DLF City Plots Phase,Sector 25,6.5,36160,5,2,3,east,Old,1804,1,1,1,1,0,Un-furnished,Medium,Low-rise
flat,Breez Global Heights,Sohna Road,0.21,5329,1,1,1,north-east,Relatively New,394,0,0,0,0,0,Semi-furnished,Low,Low-rise
flat,DLF Regency Park,Sector 28,1.6,14545,2,2,2,north,Relatively New,1214,0,0,0,0,0,Semi-furnished,Average,Low-rise
flat,Ramprastha Primera,Sector 37D,1.1,6111,3,3,3,north-west,Relatively New,1700,0,0,0,0,0,Semi-furnished,Medium,Mid-rise
flat,La Vida By Tata Housing,Sector 113,3.0,14285,3,3,3+,east,Relatively New,2460,0,1,0,0,0,Semi-furnished,High,Low-rise
flat,Conscient Heritage Max,Sector 102,1.9,9783,3,4,3+,north-east,Relatively New,1757,0,1,0,0,0,Semi-furnished,High,High-rise
flat,DLF Regal Gardens,Sector 90,1.25,7167,3,3,2,east,Relatively New,1578,0,0,0,0,1,Semi-furnished,Low,High-rise
house,Independent,Sector 4,0.55,4074,3,3,3,south,Relatively New,1350,0,0,0,0,1,Semi-furnished,Low,Low-rise
house,Unitech South City,Sector 50,5.88,27178,3,3,3,east,Relatively New,2164,1,1,0,1,1,Furnished,Medium,Low-rise
flat,Mittal Surya Vihar,Sector 21,1.4,5833,5,4,2,north-east,Moderately Old,2172,0,0,0,0,0,Semi-furnished,Low,Low-rise
flat,Suncity Avenue,Sector 102,0.48,8928,2,2,1,south-east,Relatively New,538,0,0,1,0,0,Semi-furnished,Medium,Mid-rise
flat,M The Marina,Sector 68,1.32,8759,2,2,3,north-east,Relatively New,1364,1,0,0,0,0,Semi-furnished,Medium,High-rise
flat,Vatika,Sector 83,1.33,5564,4,4,3,east,Relatively New,2185,0,1,0,0,0,Semi-furnished,Low,Low-rise
house,Ansal Height Height Api Esencia,Sector 67,5.46,24170,4,2,3+,east,Relatively New,2264,1,0,1,1,0,Un-furnished,Medium,Low-rise
house,House Number B,Sector 5,0.8,8888,2,2,1,east,Old,900,0,0,0,0,0,Semi-furnished,Low,Low-rise
flat,Emaar MGF Emerald Floors Premier,Sector 65,2.85,14430,4,4,3,north,Relatively New,2180,1,1,0,0,0,Semi-furnished,Low,Low-rise
house,Independent,Sector 28,4.5,14076,4,1,1,east,Relatively New,3197,0,0,0,0,0,Semi-furnished,Low,Mid-rise
flat,Tarc Maceo,Sector 91,0.87,6641,2,2,2,north-west,Relatively New,1145,0,0,1,0,0,Semi-furnished,Medium,Mid-rise
flat,Sare Green Parc Phase,Sector 92,1.08,5150,4,4,2,north-east,New Property,1891,0,1,0,0,0,Semi-furnished,Medium,High-rise
flat,Suncity Platinum Towers,Sector 28,6.2,23091,3,4,3+,south,Relatively New,2000,0,1,0,0,0,Un-furnished,High,Skyscraper
flat,Emaar Palm Heights,Sector 77,1.75,11666,3,3,3+,south-west,Relatively New,1900,0,1,0,0,0,Semi-furnished,Medium,High-rise
flat,Central Park Resorts,Sector 48,9.3,24926,4,4,3+,north-east,Moderately Old,3831,1,1,1,1,0,Un-furnished,Medium,High-rise
flat,Emaar MGF Palm Hills,Sector 77,1.09,5382,3,4,3+,south,Relatively New,1833,0,1,0,0,1,Un-furnished,High,Mid-rise
flat,Tata Primanti,Sector 72,3.85,13253,4,2,3+,north,Relatively New,2629,0,1,0,0,0,Un-furnished,High,High-rise
house,Emaar MGF Marbella,Sector 66,19.0,21114,5,3,1,north-east,Relatively New,9000,0,1,1,1,0,Un-furnished,Medium,Low-rise
flat,Tulip Purple,Sector 69,1.8,9000,4,2,3+,north-east,Relatively New,2200,0,1,0,0,0,Semi-furnished,High,Mid-rise
flat,M Skycity,Sector 65,3.5,17039,3,3,3,east,New Property,2267,1,1,0,1,0,Un-furnished,High,High-rise
flat,Umang Winter Hills,Sector 77,1.05,5762,3,3,3,east,Relatively New,1600,0,0,0,0,0,Semi-furnished,Average,Mid-rise
flat,Sare Crescent Parc,Sector 92,0.9,4260,4,2,3+,north-east,Relatively New,1805,0,1,0,0,0,Semi-furnished,Low,Low-rise
house,Vipul Tatvam Villa,Sector 48,8.2,25309,3,3,1,north,Moderately Old,3247,1,1,0,1,0,Furnished,High,Low-rise
house,Independent,New Gurgaon Basti,2.4,11261,4,2,3,east,Old,2131,0,0,0,0,0,Semi-furnished,Low,Low-rise
flat,HCBS Sports Ville,Sohna Road,0.24,7407,1,1,2,north,New Property,324,0,0,0,0,0,Semi-furnished,Medium,Low-rise
house,Vatika India Next,Sector 82,6.8,20988,4,4,1,north-east,Relatively New,3247,0,1,0,0,0,Furnished,Medium,Low-rise
flat,Vatika,Sector 83,1.25,7812,4,4,3,south-west,Moderately Old,1964,0,1,0,0,0,Semi-furnished,Medium,High-rise
flat,The Close North,Sector 50,3.0,11516,3,3,3+,north,Old,2357,0,1,0,0,0,Un-furnished,Medium,High-rise
flat,Millenia,Sector 37C,0.4,6666,2,2,2,east,New Property,600,0,0,0,0,0,Semi-furnished,Low,Mid-rise
flat,Shree Vardhman Flora,Sector 90,0.64,4961,2,2,3,north-west,Relatively New,1225,1,0,0,0,0,Un-furnished,Average,High-rise
flat,M Capital,Sector 113,2.37,11500,4,4,3+,east,Under Construction,2060,1,0,0,0,0,Semi-furnished,Medium,High-rise
flat,Jmd Empire,Golf Course Road,1.5,12500,2,2,3,east,Relatively New,1200,0,0,0,0,0,Semi-furnished,Low,Mid-rise
flat,Pareena Coban Residences,Sector 99A,1.08,6625,3,2,3,west,Relatively New,1750,0,1,0,0,1,Semi-furnished,Average,Low-rise
flat,Tulip Ivory,Sector 70,2.0,8333,4,2,3+,east,Moderately Old,2107,0,1,0,0,0,Un-furnished,Medium,Mid-rise
flat,Sobha City,Sector 108,2.95,14727,3,4,2,east,Relatively New,1600,0,0,0,0,0,Semi-furnished,Average,High-rise
flat,Godrej Frontier,Sector 80,1.4,6189,3,4,2,south,Moderately Old,1922,0,1,0,1,0,Semi-furnished,Medium,Mid-rise
flat,The Khushboo Cooperative Housing Society Ltd,Sector 9A,0.88,4888,3,3,2,north-west,Old,1434,0,0,0,0,0,Un-furnished,Average,Low-rise
flat,Signature Global Park,Sohna Road,0.9,8035,3,2,2,south,New Property,1014,0,0,0,0,0,Semi-furnished,Medium,Low-rise
house,Independent,Sector 17,9.5,23457,2,3,1,west,Relatively New,4509,1,0,0,0,0,Un-furnished,Low,Low-rise
flat,Signature Global Solera,Sector 107,0.36,6489,2,2,2,north-west,Relatively New,555,0,0,0,0,0,Semi-furnished,Average,Mid-rise
flat,M Woodshire,Sector 107,0.9,6590,2,2,3+,north-east,Relatively New,1236,0,0,0,0,1,Un-furnished,Low,High-rise
flat,Pioneer Araya,Sector 62,9.14,19488,4,2,3,east,Relatively New,3920,1,1,1,0,0,Un-furnished,Medium,High-rise
house,Independent,Sector 28,11.0,33951,4,2,1,east,Relatively New,3247,1,1,0,1,0,Furnished,Medium,Low-rise
flat,M Woodshire,Sector 107,1.7,6141,4,2,3+,south,Relatively New,2505,0,1,0,0,0,Semi-furnished,Medium,Mid-rise
house,International City By Sobha Phase,Sector 109,6.3,9000,4,3,1,west,Relatively New,7000,0,0,0,0,0,Un-furnished,Medium,Low-rise
flat,Satya Element One,Sector 49,0.94,14009,1,2,2,east,Moderately Old,741,0,0,0,0,0,Semi-furnished,Low,Low-rise
flat,DLF New Town Heights,Sector 86,1.54,5786,4,4,3+,north-west,Moderately Old,2139,1,1,0,1,0,Semi-furnished,Medium,Skyscraper
flat,SS Residency Residency The Leaf,Sector 85,1.25,7179,2,2,3,south-east,Relatively New,1730,0,0,0,0,0,Semi-furnished,Average,High-rise
flat,Smart World Gems,Sector 89,1.2,8432,3,3,2,north-east,New Property,1571,0,0,0,0,0,Semi-furnished,Average,Low-rise
house,Vipul Tatvam Villa,Sector 48,5.75,22184,4,4,2,west,Moderately Old,2525,0,1,0,0,0,Semi-furnished,Low,Low-rise
house,DLF New Town Heights,Sector 86,2.5,7827,4,2,1,west,Moderately Old,3194,0,1,0,1,1,Un-furnished,Average,Mid-rise
flat,Adani Brahma Samsara Vilasa,Sector 63,3.35,16470,3,3,3+,north-east,New Property,1841,0,0,0,0,0,Un-furnished,Low,Low-rise
flat,Emaar MGF Emerald Floors Premier,Sector 65,2.35,14242,3,3,3,east,Relatively New,1821,1,1,0,0,0,Un-furnished,Medium,Low-rise
flat,HCBS Sports Ville,Sohna Road,0.38,5067,2,2,2,east,Relatively New,750,0,0,0,0,0,Semi-furnished,Low,Mid-rise
house,Independent,Sector 26,16.0,35561,5,2,1,north-east,Old,4509,0,0,0,0,0,Semi-furnished,Low,Low-rise
flat,SS Residency Residency The Leaf,Sector 85,1.12,6453,2,2,3,east,Relatively New,1485,0,0,0,0,1,Semi-furnished,Average,High-rise
flat,Ireo The Grand Arch,Sector 58,2.2,16000,2,2,2,north-east,Relatively New,1244,0,0,0,0,0,Semi-furnished,Average,Mid-rise
flat,Puri Emerald Bay,Sector 104,1.58,9117,2,3,3,north-east,Relatively New,1538,0,1,0,0,0,Semi-furnished,Medium,High-rise
house,Emaar MGF Marbella,Sector 66,12.0,37038,4,4,1,east,Relatively New,3247,1,1,1,1,0,Un-furnished,High,Low-rise
house,Independent,Surat Nagar Phase 2,0.3,6194,2,1,1,south,Moderately Old,484,0,0,0,0,0,Semi-furnished,Low,Low-rise
flat,M Golfestate,Sector 65,5.9,17484,3,3,3,north,Relatively New,3043,1,1,0,0,0,Semi-furnished,Medium,High-rise
flat,Imperia The Esfera,Sector 37C,0.87,5513,2,3,3+,north-east,New Property,1428,1,0,0,0,0,Semi-furnished,Average,Mid-rise
flat,Sare Green Parc Phase,Sector 92,0.75,7142,3,2,2,east,New Property,1298,0,0,0,0,0,Semi-furnished,Medium,Low-rise
flat,DLF The Ultima,Sector 81,2.35,11174,3,3,3+,south,Relatively New,1550,1,1,0,1,1,Furnished,Average,High-rise
flat,Emaar Palm Heights,Sector 77,2.1,10370,3,3,3,north-east,New Property,1833,1,1,0,0,0,Semi-furnished,Low,High-rise
house,Kothi,Sector 17B,6.95,15444,4,4,1,east,Old,3500,1,1,1,1,0,Semi-furnished,Average,Low-rise
house,Independent,Sector 17,3.0,11111,4,4,2,east,Moderately Old,2980,0,0,0,0,0,Semi-furnished,Low,Low-rise
flat,Sukhshanti Apartment,Sector 56,1.7,7727,3,1,3,south,Moderately Old,2200,1,0,0,0,0,Semi-furnished,Average,Mid-rise
flat,Suncity Platinum Towers,Sector 28,6.0,22346,3,3,2,south-east,Moderately Old,2964,0,1,0,0,0,Semi-furnished,Average,Mid-rise
house,Independent,Sector 41,1.65,13750,1,1,3,east,Moderately Old,1200,0,0,0,0,0,Semi-furnished,Low,Low-rise
flat,Raheja Revanta,Sector 78,1.2,10018,1,2,2,north-east,Moderately Old,1198,0,0,0,0,0,Semi-furnished,Average,Skyscraper
house,Independent,Sector 67,1.5,8642,5,3,3,east,New Property,1736,0,0,0,0,0,Semi-furnished,Low,Low-rise
flat,Signature Global Park,Sohna Road,0.87,7190,3,2,3,north-east,Relatively New,1210,0,0,0,0,0,Semi-furnished,Medium,Mid-rise
flat,ATS Kocoon,Sector 109,2.22,10596,3,4,3,east,Relatively New,1860,1,1,1,1,0,Semi-furnished,Average,High-rise
flat,Parsvnath Exotica,Sector 53,4.8,14680,3,4,3+,north-west,New Property,2895,0,0,0,0,0,Semi-furnished,Medium,High-rise
flat,Smart World Orchard,Sector 61,1.6,13913,2,2,2,north-east,New Property,1269,0,0,0,0,0,Semi-furnished,Low,Mid-rise
flat,Signature Global Grand Iva,Sector 103,0.3,8290,1,2,2,north-east,New Property,362,0,0,0,0,0,Semi-furnished,Average,Mid-rise
flat,SS Residency Residency The Leaf,Sector 85,1.2,9677,2,2,3+,east,Relatively New,1486,0,0,1,0,0,Semi-furnished,Medium,Mid-rise
flat,BPTP Astaire Gardens,Sector 70A,1.7,8947,4,3,3,north-east,Relatively New,2097,0,0,0,0,0,Un-furnished,Average,Low-rise
house,Independent,Sector 14,7.5,16600,3,3,1,west,Old,4527,1,1,0,1,0,Un-furnished,Low,Low-rise
flat,Shree Arihant Apartment,Sector 54,1.55,8611,3,3,3,north-east,Moderately Old,1900,0,1,0,0,0,Un-furnished,Medium,Low-rise
flat,M The Marina,Sector 68,1.0,12500,2,2,3,north-east,Relatively New,883,0,0,0,0,0,Semi-furnished,Average,Skyscraper
house,Ansal Height Height Sushant Lok Plots,Sector 43,7.0,25909,5,2,2,north-east,Relatively New,2706,1,1,0,1,0,Un-furnished,Average,Low-rise
flat,Pivotal Riddhi Siddhi,Sector 99,0.72,947,2,2,2,north-east,Relatively New,779,0,0,1,0,0,Semi-furnished,Average,High-rise
house,Independent,Sector 105,0.7,5833,3,2,3,east,Moderately Old,1200,0,0,0,0,0,Semi-furnished,Low,Low-rise
house,Independent,Sector 12,1.2,14184,4,4,1,north,Relatively New,846,0,0,0,1,0,Un-furnished,Low,Low-rise
flat,Nbcc Heights,Sector 89,0.75,6578,2,2,2,north-east,Moderately Old,1032,0,0,0,0,0,Semi-furnished,Low,Mid-rise
flat,Birla Navya,Sector 63A,3.23,26872,3,1,3,west,New Property,1635,0,1,0,0,0,Semi-furnished,Average,Mid-rise
flat,Bestech Altura,Sector 79,1.85,8604,3,4,3+,north,New Property,1946,0,1,0,0,0,Semi-furnished,Average,High-rise
flat,Godrej Oasis,Sector 88A,1.4,7567,3,1,3+,east,Relatively New,1674,0,0,0,0,0,Un-furnished,Average,Mid-rise
flat,Ramprastha City,Dwarka Expressway,1.3,9027,3,3,2,north-east,New Property,1303,0,0,0,0,0,Semi-furnished,Low,Low-rise
flat,Sahara Grace,Sector 28,4.3,12420,3,4,3,north-east,Old,3133,0,1,1,0,0,Semi-furnished,Low,Mid-rise
flat,DLF Regal Gardens,Sector 90,1.78,8036,4,4,3+,south,Relatively New,2000,0,0,0,0,0,Semi-furnished,Medium,Mid-rise
house,Independent,Sector 4,1.25,8602,2,3,3,east,Moderately Old,1453,0,0,0,0,0,Semi-furnished,Low,Low-rise
flat,Bestech Park View Grand Spa,Sector 81,3.3,12222,4,2,3+,north-east,Relatively New,3060,1,1,0,0,0,Un-furnished,High,Mid-rise
flat,Adani M Oyster Grande,Sector 102,1.8,9528,3,4,3,south-east,Relatively New,1710,0,1,0,0,0,Semi-furnished,Average,High-rise
flat,Unitech Vistas,Sector 70,0.53,4800,2,2,2,north-east,New Property,991,0,0,0,0,1,Semi-furnished,Low,Mid-rise
flat,Central Park  Bellevue,Sector 48,2.75,10754,3,4,3+,north-east,Moderately Old,2564,0,0,0,0,0,Semi-furnished,Average,Low-rise
house,Experion Windchants,Sector 112,7.46,10260,4,4,1,east,Relatively New,6350,0,1,0,1,0,Un-furnished,Medium,Low-rise
house,Housing Board Colony,Sector 28,3.5,26013,2,2,3,east,Relatively New,1353,0,0,0,0,0,Semi-furnished,Low,Low-rise
flat,M Skywalk,Sector 74,1.54,10814,2,2,3+,south-east,Relatively New,1200,0,0,0,0,1,Semi-furnished,Medium,High-rise
flat,Emaar MGF Palm Hills,Sector 77,1.55,7948,4,4,3+,north-east,Relatively New,1800,1,1,0,0,0,Furnished,Average,Low-rise
flat,Vatika Xpressions,Sector 88B,0.92,7360,2,2,2,north,Relatively New,1300,0,0,0,1,0,Semi-furnished,High,Low-rise
flat,M Skywalk,Sector 74,1.5,10714,2,2,1,north-east,New Property,1545,0,0,0,0,0,Semi-furnished,Low,Mid-rise
house,International City By Sobha Phase,Sector 109,5.7,10556,4,2,1,east,Relatively New,5411,1,1,1,1,0,Semi-furnished,High,Low-rise
flat,Emaar Digihomes,Sector 62,2.15,14257,2,2,3,north-east,Relatively New,1664,0,0,0,0,0,Semi-furnished,Medium,Skyscraper
flat,AIPL The Peaceful Homes,Sector 70A,1.6,9584,2,2,2,north,Moderately Old,1416,0,0,0,0,0,Semi-furnished,Medium,Skyscraper
flat,M Capital,Sector 113,3.25,14142,4,4,3+,north-east,Under Construction,2536,1,1,0,1,0,Semi-furnished,Medium,Skyscraper
house,Independent,Sector 40,12.0,38980,4,1,0,east,New Property,3084,1,1,1,1,0,Un-furnished,Low,Mid-rise
flat,Indiabulls Centrum Park,Sector 103,1.15,8679,2,2,3,north-east,Relatively New,1077,1,0,0,0,0,Un-furnished,High,High-rise
flat,SS Residency Residency The Leaf,Sector 85,1.1,12471,2,2,3,north,Relatively New,1173,1,0,0,0,0,Semi-furnished,Medium,High-rise
flat,Tulip Violet,Sector 69,1.72,8730,4,4,1,north-east,Relatively New,1783,0,0,0,0,0,Semi-furnished,Medium,High-rise
flat,CHD Avenue,Sector 71,1.0,6734,3,3,3+,north,Relatively New,1344,0,0,0,0,0,Un-furnished,Low,Low-rise
flat,Umang Monsoon Breeze,Sector 78,0.88,4746,3,4,3,north-west,Moderately Old,1668,0,1,0,1,0,Semi-furnished,Medium,Mid-rise
flat,Vatika Sovereign Park,Sector 99,2.45,8812,3,4,3,east,New Property,2516,0,1,0,0,0,Un-furnished,High,Low-rise
flat,Mapsko Mount Ville,Sector 79,1.3,8024,3,3,3+,north-east,Relatively New,1210,0,0,0,0,0,Un-furnished,Medium,Low-rise
house,Independent,Sector 45,4.49,24394,3,3,3,north-west,Moderately Old,1840,0,0,0,0,1,Un-furnished,Medium,Low-rise
flat,Experion Windchants,Sector 112,6.5,10416,4,3,3,south,Relatively New,4800,0,0,0,0,0,Semi-furnished,Average,High-rise
flat,Orchid Petals,Sector 49,2.09,11578,3,3,3,south,Relatively New,1633,0,0,0,0,0,Semi-furnished,Average,Basement/Ground Floor
flat,Tulip Violet,Sector 69,1.6,10139,3,3,2,south-west,Relatively New,1428,0,0,0,1,0,Semi-furnished,Average,Basement/Ground Floor
house,Independent,Sector 26,7.0,39176,5,2,3,north-east,Relatively New,1783,0,1,0,0,0,Semi-furnished,Low,Low-rise
house,Eros Rosewood City,Sector 49,1.6,3303,4,1,1,east,New Property,4844,0,0,0,0,0,Un-furnished,Low,Mid-rise
house,Spaze Privy,Sector 72,3.1,8486,5,2,1,east,Relatively New,3653,0,0,0,0,0,Semi-furnished,Low,Skyscraper
flat,Ramsons Kshitij,Sector 95,0.4,5839,3,2,2,north-east,New Property,756,0,0,0,0,0,Semi-furnished,Low,Mid-rise
flat,ILD Greens,Sector 37C,1.05,7500,3,1,3,north-east,New Property,1500,0,0,0,0,0,Un-furnished,Low,Mid-rise
flat,ILD Grand,Sector 37C,0.66,5038,2,2,3+,north-east,Relatively New,1310,0,0,0,0,0,Semi-furnished,Medium,High-rise
house,Independent,Sector 43,7.5,38710,3,1,3,east,New Property,1939,1,1,1,1,0,Un-furnished,Medium,Mid-rise
house,Iffco Nagar And  RWA,Sector 17,2.98,20566,2,2,3,east,Relatively New,1452,1,0,0,1,0,Semi-furnished,Medium,Low-rise
flat,Raheja Revanta,Sector 78,0.99,6100,2,2,3,east,Moderately Old,1467,0,0,0,0,1,Semi-furnished,Average,High-rise
flat,Pyramid Urban,Sector 67A,0.7,11844,2,2,1,north,New Property,591,0,0,0,0,0,Semi-furnished,Average,High-rise
